y_hat: [0.11422243], y: [0]
y_hat: [0.19847991], y: [0]
y_hat: [0.21195417], y: [0]
y_hat: [0.05429604], y: [0]
y_hat: [0.11519518], y: [1]
y_hat: [0.29055494], y: [0]
y_hat: [0.11384445], y: [0]
y_hat: [0.14080602], y: [0]
y_hat: [0.05363818], y: [1]
y_hat: [0.17748933], y: [0]
y_hat: [0.07918228], y: [0]
y_hat: [0.05254379], y: [0]
y_hat: [0.163349], y: [0]
y_hat: [0.19123876], y: [0]
y_hat: [0.20224613], y: [0]
y_hat: [0.19700395], y: [0]
y_hat: [0.03308395], y: [0]
y_hat: [0.12453736], y: [0]
y_hat: [0.13782487], y: [1]
y_hat: [0.16264163], y: [0]
y_hat: [0.14698026], y: [0]
y_hat: [0.1069855], y: [0]
y_hat: [0.04870453], y: [0]
y_hat: [0.19369784], y: [0]
y_hat: [0.05003507], y: [0]
y_hat: [0.11994591], y: [0]
y_hat: [0.20711618], y: [0]
y_hat: [0.05223722], y: [0]
y_hat: [0.18910308], y: [0]
y_hat: [0.02712639], y: [1]
y_hat: [0.02554245], y: [0]
y_hat: [0.19134011], y: [0]
y_hat: [0.0558059], y: [0]
y_hat: [0.20333065], y: [0]
y_hat: [0.16433127], y: [0]
y_hat: [0.16068776], y: [0]
y_hat: [0.03039475], y: [0]
y_hat: [0.02868974], y: [0]
y_hat: [0.07613434], y: [0]
y_hat: [0.03873428], y: [0]
y_hat: [0.12085261], y: [0]
y_hat: [0.1023264], y: [0]
y_hat: [0.04831416], y: [0]
y_hat: [0.15705639], y: [1]
y_hat: [0.202944], y: [0]
y_hat: [0.18888475], y: [0]
y_hat: [0.11538883], y: [0]
y_hat: [0.19154137], y: [0]
y_hat: [0.03193719], y: [1]
y_hat: [0.18809554], y: [0]
y_hat: [0.19180154], y: [0]
y_hat: [0.10273822], y: [1]
y_hat: [0.20699435], y: [1]
y_hat: [0.10451111], y: [0]
y_hat: [0.06393763], y: [0]
y_hat: [0.10683109], y: [1]
y_hat: [0.20712123], y: [0]
y_hat: [0.0607313], y: [0]
y_hat: [0.10833373], y: [0]
y_hat: [0.07050892], y: [1]
y_hat: [0.05581615], y: [0]
y_hat: [0.03729858], y: [1]
y_hat: [0.21391249], y: [1]
y_hat: [0.10300238], y: [1]
y_hat: [0.11415942], y: [0]
y_hat: [0.08766654], y: [0]
y_hat: [0.05153943], y: [0]
y_hat: [0.11358772], y: [0]
y_hat: [0.11321018], y: [0]
y_hat: [0.27949407], y: [0]
y_hat: [0.21147326], y: [0]
y_hat: [0.05542706], y: [0]
y_hat: [0.14204382], y: [0]
y_hat: [0.04096585], y: [1]
y_hat: [0.11522304], y: [0]
y_hat: [0.03781619], y: [0]
y_hat: [0.21030433], y: [0]
y_hat: [0.02665062], y: [1]
y_hat: [0.06909949], y: [1]
y_hat: [0.16506344], y: [0]
y_hat: [0.1710338], y: [0]
y_hat: [0.1229336], y: [0]
y_hat: [0.17123656], y: [0]
y_hat: [0.1003247], y: [0]
y_hat: [0.05011684], y: [1]
y_hat: [0.10910925], y: [1]
y_hat: [0.19860814], y: [0]
y_hat: [0.16704659], y: [0]
y_hat: [0.10196595], y: [1]
y_hat: [0.1781156], y: [0]
y_hat: [0.13146878], y: [0]
y_hat: [0.16993816], y: [0]
y_hat: [0.16492019], y: [0]
y_hat: [0.11104564], y: [0]
y_hat: [0.10231333], y: [0]
y_hat: [0.05888171], y: [1]
y_hat: [0.2054723], y: [0]
y_hat: [0.16400996], y: [1]
y_hat: [0.28213748], y: [0]
y_hat: [0.08950685], y: [0]
y_hat: [0.0568803], y: [0]
y_hat: [0.1467938], y: [0]
y_hat: [0.04802282], y: [0]
y_hat: [0.19807639], y: [1]
y_hat: [0.0523122], y: [1]
y_hat: [0.03060155], y: [0]
y_hat: [0.11382551], y: [1]
y_hat: [0.28764639], y: [0]
y_hat: [0.04970582], y: [0]
y_hat: [0.21813769], y: [0]
y_hat: [0.1502957], y: [0]
y_hat: [0.06396255], y: [1]
y_hat: [0.03584721], y: [1]
y_hat: [0.17864847], y: [0]
y_hat: [0.1255234], y: [0]
y_hat: [0.12787458], y: [0]
y_hat: [0.08167235], y: [1]
y_hat: [0.05033977], y: [0]
y_hat: [0.21044807], y: [0]
y_hat: [0.13025872], y: [1]
y_hat: [0.10998185], y: [0]
y_hat: [0.10377048], y: [1]
y_hat: [0.12341437], y: [0]
y_hat: [0.13220776], y: [1]
y_hat: [0.11071214], y: [0]
y_hat: [0.05622797], y: [1]
y_hat: [0.05919071], y: [0]
y_hat: [0.19081452], y: [0]
y_hat: [0.05628005], y: [1]
y_hat: [0.22772844], y: [0]
y_hat: [0.15418544], y: [0]
y_hat: [0.17484999], y: [0]
y_hat: [0.09179292], y: [1]
y_hat: [0.11189545], y: [0]
y_hat: [0.04705125], y: [0]
y_hat: [0.22654279], y: [0]
y_hat: [0.19382514], y: [0]
y_hat: [0.32630082], y: [0]
y_hat: [0.20852302], y: [0]
y_hat: [0.14713834], y: [0]
y_hat: [0.22007667], y: [0]
y_hat: [0.20035157], y: [0]
y_hat: [0.06260953], y: [0]
y_hat: [0.18710806], y: [0]
y_hat: [0.21064824], y: [0]
y_hat: [0.07154095], y: [1]
y_hat: [0.13688057], y: [0]
y_hat: [0.06350178], y: [0]
y_hat: [0.09044958], y: [1]
y_hat: [0.21928277], y: [0]
y_hat: [0.08723771], y: [1]
y_hat: [0.16191832], y: [0]
y_hat: [0.11897857], y: [0]
y_hat: [0.18823432], y: [1]
y_hat: [0.05375727], y: [0]
y_hat: [0.09156666], y: [1]
y_hat: [0.12743656], y: [0]
y_hat: [0.12979653], y: [0]
y_hat: [0.09618813], y: [1]
y_hat: [0.20408176], y: [0]
y_hat: [0.29847269], y: [0]
y_hat: [0.22386373], y: [0]
y_hat: [0.15924693], y: [0]
y_hat: [0.12190834], y: [0]
y_hat: [0.05583647], y: [1]
y_hat: [0.2228937], y: [0]
y_hat: [0.20847014], y: [0]
y_hat: [0.07722567], y: [1]
y_hat: [0.07722326], y: [1]
y_hat: [0.12033378], y: [0]
y_hat: [0.03188073], y: [1]
y_hat: [0.13883865], y: [0]
y_hat: [0.047201], y: [0]
y_hat: [0.22382471], y: [0]
y_hat: [0.09174626], y: [0]
y_hat: [0.22265008], y: [1]
y_hat: [0.19412745], y: [0]
y_hat: [0.14613397], y: [0]
y_hat: [0.08359293], y: [0]
y_hat: [0.09015078], y: [1]
y_hat: [0.19598836], y: [0]
y_hat: [0.06738904], y: [0]
y_hat: [0.22755447], y: [0]
y_hat: [0.22472436], y: [0]
y_hat: [0.21782585], y: [0]
y_hat: [0.22209553], y: [0]
y_hat: [0.12176372], y: [0]
y_hat: [0.11753121], y: [1]
y_hat: [0.26871279], y: [0]
y_hat: [0.28349251], y: [0]
y_hat: [0.19870922], y: [0]
y_hat: [0.03016127], y: [1]
y_hat: [0.14634375], y: [0]
y_hat: [0.0378661], y: [0]
y_hat: [0.06135951], y: [1]
y_hat: [0.17333218], y: [1]
y_hat: [0.23205685], y: [0]
y_hat: [0.10754885], y: [0]
y_hat: [0.03379299], y: [0]
y_hat: [0.02479051], y: [0]
y_hat: [0.20413698], y: [0]
y_hat: [0.05915064], y: [1]
y_hat: [0.2316184], y: [0]
y_hat: [0.06264519], y: [1]
y_hat: [0.29616382], y: [0]
y_hat: [0.18559551], y: [0]
y_hat: [0.13247769], y: [0]
y_hat: [0.02498548], y: [1]
y_hat: [0.15392353], y: [1]
y_hat: [0.09614582], y: [0]
y_hat: [0.1566963], y: [0]
y_hat: [0.11580672], y: [0]
y_hat: [0.10789315], y: [0]
y_hat: [0.06255617], y: [0]
y_hat: [0.1414204], y: [0]
y_hat: [0.11926554], y: [0]
y_hat: [0.05662609], y: [0]
y_hat: [0.06778269], y: [1]
y_hat: [0.19252203], y: [0]
y_hat: [0.16387498], y: [1]
y_hat: [0.08373924], y: [0]
y_hat: [0.07079545], y: [1]
y_hat: [0.13734358], y: [0]
y_hat: [0.18009683], y: [1]
y_hat: [0.22841847], y: [0]
y_hat: [0.15810688], y: [0]
y_hat: [0.05554066], y: [0]
y_hat: [0.18006691], y: [0]
y_hat: [0.02689916], y: [1]
y_hat: [0.12130255], y: [0]
y_hat: [0.09867391], y: [1]
y_hat: [0.16563197], y: [1]
y_hat: [0.10831834], y: [0]
y_hat: [0.19056435], y: [0]
y_hat: [0.16167651], y: [1]
y_hat: [0.15029944], y: [0]
y_hat: [0.16889566], y: [0]
y_hat: [0.18211687], y: [0]
y_hat: [0.19849147], y: [0]
y_hat: [0.11426806], y: [0]
y_hat: [0.1261446], y: [0]
y_hat: [0.28807518], y: [0]
y_hat: [0.16932564], y: [0]
y_hat: [0.09900937], y: [1]
y_hat: [0.24647598], y: [1]
y_hat: [0.10912895], y: [0]
y_hat: [0.06130674], y: [1]
y_hat: [0.04025649], y: [0]
y_hat: [0.14769531], y: [0]
y_hat: [0.10296592], y: [0]
y_hat: [0.07269454], y: [0]
y_hat: [0.29110592], y: [0]
y_hat: [0.06779426], y: [0]
y_hat: [0.07066044], y: [0]
y_hat: [0.23413748], y: [0]
y_hat: [0.20026094], y: [0]
y_hat: [0.16263459], y: [1]
y_hat: [0.05394687], y: [0]
y_hat: [0.06331027], y: [1]
y_hat: [0.23525991], y: [0]
y_hat: [0.13363427], y: [0]
y_hat: [0.07242264], y: [1]
y_hat: [0.23091185], y: [0]
y_hat: [0.15292911], y: [0]
y_hat: [0.14533341], y: [0]
y_hat: [0.23224235], y: [0]
y_hat: [0.06829327], y: [1]
y_hat: [0.07675948], y: [0]
y_hat: [0.13736339], y: [0]
y_hat: [0.14504411], y: [0]
y_hat: [0.12950593], y: [0]
y_hat: [0.13147554], y: [0]
y_hat: [0.1263871], y: [0]
y_hat: [0.14331339], y: [0]
y_hat: [0.09195937], y: [0]
y_hat: [0.16895935], y: [0]
y_hat: [0.23019607], y: [0]
y_hat: [0.09838621], y: [1]
y_hat: [0.09842364], y: [1]
y_hat: [0.23116253], y: [0]
y_hat: [0.18981036], y: [0]
y_hat: [0.22931472], y: [0]
y_hat: [0.12829412], y: [0]
y_hat: [0.07506242], y: [1]
y_hat: [0.247495], y: [0]
y_hat: [0.14522038], y: [0]
y_hat: [0.04886416], y: [0]
y_hat: [0.2230497], y: [0]
y_hat: [0.30531858], y: [0]
y_hat: [0.07384111], y: [1]
y_hat: [0.08202452], y: [1]
y_hat: [0.21782624], y: [0]
y_hat: [0.11385582], y: [0]
y_hat: [0.30446233], y: [1]
y_hat: [0.24954996], y: [1]
y_hat: [0.17827734], y: [1]
y_hat: [0.20685563], y: [0]
y_hat: [0.18867808], y: [0]
y_hat: [0.06967371], y: [1]
y_hat: [0.06806847], y: [1]
y_hat: [0.20846755], y: [0]
y_hat: [0.24201554], y: [0]
y_hat: [0.0682096], y: [0]
y_hat: [0.23719265], y: [0]
y_hat: [0.11738801], y: [1]
y_hat: [0.23613838], y: [0]
y_hat: [0.19543054], y: [1]
y_hat: [0.20675968], y: [0]
y_hat: [0.19867793], y: [0]
y_hat: [0.23918638], y: [0]
y_hat: [0.16040138], y: [0]
y_hat: [0.22382468], y: [0]
Acc: 0.65116
F1 score: 0.00000
MCC: 0.00000
Scoring: 0.19535
